Year		Winner		Country
2021	Manchester City	Manchester City	England	England
2020	Liverpool FC	Liverpool FC	England	England
2019	Manchester City	Manchester City	England	England
2018	Manchester City	Manchester City	England	England
2017	Chelsea FC	Chelsea FC	England	England
2016	Leicester City	Leicester City	England	England
2015	Chelsea FC	Chelsea FC	England	England
2014	Manchester City	Manchester City	England	England
2013	Manchester United	Manchester United	England	England
2012	Manchester City	Manchester City	England	England
2011	Manchester United	Manchester United	England	England
2010	Chelsea FC	Chelsea FC	England	England
2009	Manchester United	Manchester United	England	England
2008	Manchester United	Manchester United	England	England
2007	Manchester United	Manchester United	England	England
2006	Chelsea FC	Chelsea FC	England	England
2005	Chelsea FC	Chelsea FC	England	England
2004	Arsenal FC	Arsenal FC	England	England
2003	Manchester United	Manchester United	England	England
2002	Arsenal FC	Arsenal FC	England	England
2001	Manchester United	Manchester United	England	England
2000	Manchester United	Manchester United	England	England
1999	Manchester United	Manchester United	England	England
1998	Arsenal FC	Arsenal FC	England	England
1997	Manchester United	Manchester United	England	England
1996	Manchester United	Manchester United	England	England
1995	Blackburn Rovers	Blackburn Rovers	England	England
1994	Manchester United	Manchester United	England	England
1993	Manchester United	Manchester United	England	England
1992	Leeds United	Leeds United	England	England
1991	Arsenal FC	Arsenal FC	England	England
1990	Liverpool FC	Liverpool FC	England	England
1989	Arsenal FC	Arsenal FC	England	England
1988	Liverpool FC	Liverpool FC	England	England
1987	Everton FC	Everton FC	England	England
1986	Liverpool FC	Liverpool FC	England	England
1985	Everton FC	Everton FC	England	England
1984	Liverpool FC	Liverpool FC	England	England
1983	Liverpool FC	Liverpool FC	England	England
1982	Liverpool FC	Liverpool FC	England	England
1981	Aston Villa	Aston Villa	England	England
1980	Liverpool FC	Liverpool FC	England	England
1979	Liverpool FC	Liverpool FC	England	England
1978	Nottingham Forest	Nottingham Forest	England	England
1977	Liverpool FC	Liverpool FC	England	England
1976	Liverpool FC	Liverpool FC	England	England
1975	Derby County	Derby County	England	England
1974	Leeds United	Leeds United	England	England
1973	Liverpool FC	Liverpool FC	England	England
1972	Derby County	Derby County	England	England
1971	Arsenal FC	Arsenal FC	England	England
1970	Everton FC	Everton FC	England	England
1969	Leeds United	Leeds United	England	England
1968	Manchester City	Manchester City	England	England
1967	Manchester United	Manchester United	England	England
1966	Liverpool FC	Liverpool FC	England	England
1965	Manchester United	Manchester United	England	England
1964	Liverpool FC	Liverpool FC	England	England
1963	Everton FC	Everton FC	England	England
1962	Ipswich Town	Ipswich Town	England	England
1961	Tottenham Hotspur	Tottenham Hotspur	England	England
1960	Burnley FC	Burnley FC	England	England
1959	Wolverhampton Wanderers	Wolverhampton Wanderers	England	England
1958	Wolverhampton Wanderers	Wolverhampton Wanderers	England	England
1957	Manchester United	Manchester United	England	England
1956	Manchester United	Manchester United	England	England
1955	Chelsea FC	Chelsea FC	England	England
1954	Wolverhampton Wanderers	Wolverhampton Wanderers	England	England
1953	Arsenal FC	Arsenal FC	England	England
1952	Manchester United	Manchester United	England	England
1951	Tottenham Hotspur	Tottenham Hotspur	England	England
1950	Portsmouth FC	Portsmouth FC	England	England
1949	Portsmouth FC	Portsmouth FC	England	England
1948	Arsenal FC	Arsenal FC	England	England
1947	Liverpool FC	Liverpool FC	England	England
1939	Everton FC	Everton FC	England	England
1938	Arsenal FC	Arsenal FC	England	England
1937	Manchester City	Manchester City	England	England
1936	Sunderland AFC	Sunderland AFC	England	England
1935	Arsenal FC	Arsenal FC	England	England
1934	Arsenal FC	Arsenal FC	England	England
1933	Arsenal FC	Arsenal FC	England	England
1932	Everton FC	Everton FC	England	England
1931	Arsenal FC	Arsenal FC	England	England
1930	Sheffield Wednesday	Sheffield Wednesday	England	England
1929	The Wednesday FC	The Wednesday FC	England	England
1928	Everton FC	Everton FC	England	England
1927	Newcastle United	Newcastle United	England	England
1926	Huddersfield Town	Huddersfield Town	England	England
1925	Huddersfield Town	Huddersfield Town	England	England
1924	Huddersfield Town	Huddersfield Town	England	England
1923	Liverpool FC	Liverpool FC	England	England
1922	Liverpool FC	Liverpool FC	England	England
1921	Burnley FC	Burnley FC	England	England
1920	West Bromwich Albion	West Bromwich Albion	England	England
1915	Everton FC	Everton FC	England	England
1914	Blackburn Rovers	Blackburn Rovers	England	England
1913	Sunderland AFC	Sunderland AFC	England	England
1912	Blackburn Rovers	Blackburn Rovers	England	England
1911	Manchester United	Manchester United	England	England
1910	Aston Villa	Aston Villa	England	England
1909	Newcastle United	Newcastle United	England	England
1908	Manchester United	Manchester United	England	England
1907	Newcastle United	Newcastle United	England	England
1906	Liverpool FC	Liverpool FC	England	England
1905	Newcastle United	Newcastle United	England	England
1904	The Wednesday FC	The Wednesday FC	England	England
1903	The Wednesday FC	The Wednesday FC	England	England
1902	Sunderland AFC	Sunderland AFC	England	England
1901	Liverpool FC	Liverpool FC	England	England
1900	Aston Villa	Aston Villa	England	England
1899	Aston Villa	Aston Villa	England	England
1898	Sheffield United	Sheffield United	England	England
1897	Aston Villa	Aston Villa	England	England
1896	Aston Villa	Aston Villa	England	England
1895	Sunderland AFC	Sunderland AFC	England	England
1894	Aston Villa	Aston Villa	England	England
1893	Sunderland AFC	Sunderland AFC	England	England
1892	Sunderland AFC	Sunderland AFC	England	England
1891	Everton FC	Everton FC	England	England
1890	Preston North End	Preston North End	England	England
1889	Preston North End	Preston North End	England	England
