Entity,Code,Year,Height (Baten and Blum 2015)
Afghanistan,AFG,1870,168.4
Afghanistan,AFG,1880,165.69
Afghanistan,AFG,1930,166.8
Afghanistan,AFG,1990,167.1
Afghanistan,AFG,2000,161.4
Albania,ALB,1880,170.1
Albania,ALB,1890,169.8
Albania,ALB,1900,169.2
Albania,ALB,2000,167.9
Algeria,DZA,1910,168.8
Algeria,DZA,1920,166.24099999999999
Algeria,DZA,1930,169
Algeria,DZA,1990,171.3
Algeria,DZA,2000,169.5
Angola,AGO,1790,160.4
Angola,AGO,1800,158.6
Angola,AGO,1810,160.5
Angola,AGO,1880,168.8
Angola,AGO,1890,169.1
Angola,AGO,1900,168.1
Angola,AGO,1910,168
Angola,AGO,1920,165.7
Angola,AGO,1930,166.7
Argentina,ARG,1770,170.3
Argentina,ARG,1780,168.2
Argentina,ARG,1790,168
Argentina,ARG,1800,168
Argentina,ARG,1810,168.8
Argentina,ARG,1820,169.9
Argentina,ARG,1830,170.9
Argentina,ARG,1840,169.6
Argentina,ARG,1850,168.2
Argentina,ARG,1860,167.4
Argentina,ARG,1870,167.6
Argentina,ARG,1880,167.565
Argentina,ARG,1890,167.792
Argentina,ARG,1900,167.868
Argentina,ARG,1910,168.2
Argentina,ARG,1920,169
Argentina,ARG,1930,169.8
Argentina,ARG,1940,170.6
Argentina,ARG,1950,170.8
Argentina,ARG,1990,174.4
Armenia,ARM,1850,169.324
Armenia,ARM,1860,167.62
Armenia,ARM,1890,166.2
Armenia,ARM,1900,163.58
Armenia,ARM,1910,163.75
Armenia,ARM,1940,167.99
Armenia,ARM,1960,170.601
Armenia,ARM,1970,171.74900000000002
Armenia,ARM,1980,171.653
Armenia,ARM,1990,172.4
Armenia,ARM,2000,172.2
Australia,AUS,1850,170
Australia,AUS,1860,170.6
Australia,AUS,1870,170.053
Australia,AUS,1880,171.1
Australia,AUS,1890,171.3
Australia,AUS,1900,172.3
Australia,AUS,1910,172.7
Australia,AUS,1920,172.84599999999998
Australia,AUS,1960,176.3
Australia,AUS,1970,178.4
Austria,AUT,1750,164.6
Austria,AUT,1770,163.1
Austria,AUT,1780,161.6
Austria,AUT,1790,163.2
Austria,AUT,1820,163.7
Austria,AUT,1830,163.4
Austria,AUT,1840,164.8
Austria,AUT,1850,165.8
Austria,AUT,1860,166.4
Austria,AUT,1870,167.2
Austria,AUT,1880,167.7
Austria,AUT,1890,168.4
Austria,AUT,1900,168.9
Austria,AUT,1910,168.9
Austria,AUT,1920,170.4
Austria,AUT,1960,177
Austria,AUT,1970,177.5
Austria,AUT,1980,178.8
Azerbaijan,AZE,1850,170.185
Azerbaijan,AZE,1860,170.81599999999997
Azerbaijan,AZE,1950,171.21599999999998
Azerbaijan,AZE,1960,171.734
Azerbaijan,AZE,1970,172.03900000000002
Azerbaijan,AZE,1980,172.153
Azerbaijan,AZE,2000,171.8
Bahrain,BHR,1930,160.7
Bahrain,BHR,1940,163.8
Bahrain,BHR,1950,164
Bangladesh,BGD,1850,161.80700000000002
Bangladesh,BGD,1860,162.346
Bangladesh,BGD,1870,163.684
Bangladesh,BGD,1880,162.061
Bangladesh,BGD,1950,161.555
Bangladesh,BGD,1960,162.15
Bangladesh,BGD,1980,162.377
Bangladesh,BGD,1990,159.8
Bangladesh,BGD,2000,163.3
Belarus,BLR,1840,163.9
Belarus,BLR,1900,166.5
Belarus,BLR,1980,176.4
Belgium,BEL,1810,163.1
Belgium,BEL,1820,163.7
Belgium,BEL,1830,164
Belgium,BEL,1840,165.1
Belgium,BEL,1850,166.1
Belgium,BEL,1860,166.6
Belgium,BEL,1870,166.6
Belgium,BEL,1900,167.8
Belgium,BEL,1940,174.54
Belgium,BEL,1960,176.8
Benin,BEN,1780,164.8
Benin,BEN,1790,165.8
Benin,BEN,1800,163.5
Benin,BEN,1810,164.9
Benin,BEN,1910,168.87
Benin,BEN,1920,168.127
Benin,BEN,1930,168.2
Benin,BEN,1950,169.91099999999997
Benin,BEN,1960,170.688
Benin,BEN,1970,170.28599999999997
Benin,BEN,1980,169.16299999999998
Bolivia,BOL,1890,163.594
Bolivia,BOL,1900,162.45
Bolivia,BOL,1930,162.5
Bolivia,BOL,1940,163.4
Bolivia,BOL,1950,162.482
Bolivia,BOL,1960,163.18200000000002
Bolivia,BOL,1970,163.886
Bolivia,BOL,1980,164.19099999999997
Bolivia,BOL,1990,168.1
Bolivia,BOL,2000,168.7
Bosnia and Herzegovina,BIH,2000,173.2
Botswana,BWA,1910,165.42
Botswana,BWA,1980,167.1
Brazil,BRA,1810,164.3
Brazil,BRA,1820,164.3
Brazil,BRA,1830,164.8
Brazil,BRA,1840,164.6
Brazil,BRA,1850,164.5
Brazil,BRA,1860,165
Brazil,BRA,1870,166.5
Brazil,BRA,1880,166.1
Brazil,BRA,1890,167.1
Brazil,BRA,1900,167.5
Brazil,BRA,1910,166.486
Brazil,BRA,1920,166.6
Brazil,BRA,1930,167
Brazil,BRA,1940,167.1
Brazil,BRA,1950,168.2
Brazil,BRA,1960,169
Brazil,BRA,1970,171.6
Brazil,BRA,1980,171.7
Brazil,BRA,1990,173
Bulgaria,BGR,1880,167.6
Bulgaria,BGR,1930,171.7
Bulgaria,BGR,1940,171.3
Bulgaria,BGR,1950,172.9
Burkina Faso,BFA,1810,166.29
Burkina Faso,BFA,1820,165.36
Burkina Faso,BFA,1830,166.72
Burkina Faso,BFA,1840,162.59
Burkina Faso,BFA,1870,171.2
Burkina Faso,BFA,1880,171.463
Burkina Faso,BFA,1890,167.9
Burkina Faso,BFA,1900,171.174
Burkina Faso,BFA,1910,171.06
Burkina Faso,BFA,1920,172.4
Burkina Faso,BFA,1930,171
Burkina Faso,BFA,1940,172.451
Burkina Faso,BFA,1950,172.226
Burkina Faso,BFA,1960,172.798
Burkina Faso,BFA,1970,172.84400000000002
Burkina Faso,BFA,1980,172.829
Burundi,BDI,1920,166.14
Burundi,BDI,1930,169.355
Cambodia,KHM,1840,161.5
Cambodia,KHM,1850,164
Cambodia,KHM,1860,164.8
Cambodia,KHM,1870,161.5
Cambodia,KHM,1880,161.7
Cambodia,KHM,1890,160.9
Cambodia,KHM,1900,160.4
Cambodia,KHM,1910,161.1
Cambodia,KHM,1920,159.1
Cambodia,KHM,1930,158.4
Cambodia,KHM,1940,165
Cambodia,KHM,1950,162.4
Cambodia,KHM,1960,162.8
Cambodia,KHM,1970,162.7
Cambodia,KHM,1980,162.5
Cambodia,KHM,2000,163.9
Cameroon,CMR,1810,165.9
Cameroon,CMR,1860,165.145
